timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-12 02:21:26,"b'@FerdinandHaean2 @jokowi Beliau bilang, dalam video yang sengaja dipotong itu, bahwa pemindahan ibukota bukan karena Jakarta macet. kalau cuma karena macet, solusinya gampang tanpa harus memindahkan ibukota. Artinya pemindahan ibukota itu punya dasar pemikiran yang lebih dari itu.'",randomwisdomID,[],281
2020-02-12 02:17:29,"b'@Shda_Agatha @Vivittts Setiap event internasional itu udah jelas ada dana nya utk tuan rumah,coba protes pake data,yg skala nasional dalam pemindahan ibukota dana nya dari mana,dari Jkw ya ??? Bukan nya masih banyak rakyat yg butuh perhatian pemerintah,alokasikan dana nya buat kesejahteraan rakyat'",KaoruKamiyya,[],391
2020-02-12 01:22:57,"b'@DonAdam68 @sandalista1789 Apa benar ini sahabat pak @jokowi katakan pemindahan ibukota melihat ada masalah, lari dari masalah?????? Waktu mencalonkan gubernur memang gak terpikirkan persoalan di ibukota DKI? \xf0\x9f\xa4\x94'",Makmur13745478,[],287
2020-02-12 01:16:26,b'Dukung #OmnibusLaw \nMendukung Pemindahan Ibukota.\n\n#PENTAGON #NeoZone https://t.co/wUmdzfXAYc',PanduSanjaya98,"['OmnibusLaw', 'PENTAGON', 'NeoZone']",2
2020-02-12 00:16:54,b'Tolong buat orang yg pro pemindahan Ibukota dengerin kata pak @basuki_btp nih. #TolakIbukotaBaru https://t.co/JX1iGj6HDz',galihwiratamaa,['TolakIbukotaBaru'],996
2020-02-11 22:38:16,b'@Riez_Prajogo_Jr @AbyAlan_ @CH_chotimah https://t.co/z3hhEyyN45\nPresiden sebelumnya Soekarno ingin melakukan pemindahan Ibukota negara tetapi ditunda karena Soekarno memilih menjadi tuan rumah seagames yang pertama bagi Indonesia. Please read. Sejarah itu penting.',AlthofGhulam,[],91
2020-02-11 20:02:35,b'@AkalMerdeka @DemokrasiHitam Kenapa gak menolak pemindahan ibukota baru.',bahri_devi,[],31
2020-02-11 09:24:14,b'@dithachairani Sini ikut kajian pemindahan ibukota.. https://t.co/sRPIWcyHuE',cchandrra,[],197
2020-02-11 08:02:10,"b'Itu pak Joko Widodo udh bilang ""buat apa jauh2 studi banding ke luar negeri, krn skg bisa diakses lewat smartphone"" tapi pak Jokowi malah ngeyel studi banding ke Australia soal rencana pemindahan ibukota.Pak Jokowi gk ada takutnya sama pak Joko Widodo\xf0\x9f\x99\x84?\ncc @PDI_Perjuangan https://t.co/eVJuGyUewE'",musadad5120,[],1310
2020-02-11 05:40:31,"b'Gak paham sama orang yang bisa telponan berjam-jam sama pacarnya, itu yang dirembug apaan sih? Rencana pemindahan ibukota kabupaten trenggalek?'",bapakgvla,[],372
2020-02-11 00:25:42,b'pengen tau penaklukan era umayah oleh era abasiyah. tentang bagaimana bahgdad menjadi central pengetahuan dunia dan pemindahan ibukota damaskus (suriah) ke irak.',renaisans_era,[],477
2020-02-10 23:09:51,b'PEMINDAHAN IBUKOTA DIPERCEPAT JADI 2020? INI PENJELASAN MENDAGRI.\n#TauCepatTanpaBatas\nhttps://t.co/vPpPwwaZRd',okezonenews,['TauCepatTanpaBatas'],1743987
2020-02-10 13:57:51,"b'@feiraariani Neng bagian alasan pemindahan ibukota kui coba diulas meneh + ditambahkan kenapa jakarta tidak bisa dipertahankan sebagai ibukota, faktor2 apa yang melatar belakangi pemindahan dilihat dari kerentanan jakarta saat ini'",_williamcg,[],44
2020-02-10 11:50:22,b'wacana pemindahan ibukota jakartah ke kalimantan adalah wacana yang dicanangkan semenjak pemerintahan president Soekarno masih berkuasa. Latar belakang apa yang menjadi dasar masih dikaji hingga didapat satu alasan kuat bahwa ibukota Negara harus pindah.',hadiwinoto705,[],63
2020-02-10 10:42:17,"b'@RinjaniJB @jokowi Terlepas dari kekurangan menteri periode kedua, dimana masih banyak waktu untuk mengkoreksi, Pak Jokowi sudah berbuat banyak untuk kemajuan bangsa. Masyarakat bisa menikmati infrastruktur jalan tol dan lainnya. Warisan Pak Jokowi yang fenomenal adalah pemindahan ibukota.'",MZubir_ID,[],5853
2020-02-10 09:51:27,"b'Umat Islam Indonesia jangan terkecoh dengan riak ekonomi dan politik kontemporer seperti Pemindahan Ibukota, Virus Corona, dan Terowongan Istiqlal - Kathedral, secara yang menjadi Grand Design Indon\xc3\xa9sia bagi mereka adalah Skenario Singapura dan Skenario Uyghur.'",fantasidedi,[],119
2020-02-10 09:05:55,b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/DCKdawPU00',Kabarsukadotcom,[],16
2020-02-10 04:52:21,b'@jokowi Ignasius Jonan ketua Badan pemindahan ibukota RI',ridhobudiono_,[],2309
2020-02-09 23:39:33,"b'@OpanMin0n Ditengah maraknya indonesia dengan berbagai kasus ini pemerintah malah mau mempercepat pemindahan ibukota, yg pada dasanya hanya untuk menguntunfkan pihak tertentu\n\n#JKWpemimpinGagal \n#JKWpemimpinGagal'",WidySahad,"['JKWpemimpinGagal', 'JKWpemimpinGagal']",1321
2020-02-09 22:58:15,b'@AntoniRaja @PSI_Jakarta @DKIJakarta Mending biaya pemindahan ibukota baru buat penanggulangan bencana di Indonesia \xf0\x9f\xa4\xa3',x_ksatria,[],15
2020-02-09 15:29:11,"b'APA URGENSINYA NGOTOT KEBUT PEMINDAHAN IBUKOTA ?\n\nPadahal perekonomian makin nyungsep, kas negara jebol, APBN defisit, hutang membengkak, pengangguran semakin banyak, dll. \n\nPemerintah punya standar tolok ukur kebijakan gak sih ?'",BerisikEmak,[],3060
